name,memory_mib,cpu_milli,gpu_milli,gpu_spec,qos,time,from,offload,to,start,end,run,complete_cpu,complete_size_cpu,complete_gpu,complete_size_gpu,off_start,off_end,offload_success,complete_offload
openb-pod-6706,16384,897600.0,74.8,2,1,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7758,49152,245210.0,21.7,0,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1072,24576,184332.0,153.60999999999999,1,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3541,48128,191178.0,167.7,-1,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3237,65536,995200.0,62.2,-1,1,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6490,57344,193250.0,0.0,-1,1,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3588,47104,905008.0,35.72,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6035,49152,164415.0,145.5,0,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5666,49152,131871.0,116.7,-1,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2887,22888,315600.0,25.248,-1,2,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0933,51200,162030.0,0.0,-1,1,1,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7589,47104,192960.0,160.8,1,3,1,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0270,24576,439080.0,36.589999999999996,-1,3,1,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4634,47104,106219.36000000002,57.98,-1,1,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4491,48128,696540.0,61.1,1,1,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3465,64512,140310.0,75.0,1,1,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3693,30517,108000.0,63.45,2,2,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5217,58368,667400.0,47.0,0,1,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0544,48128,524400.0,46.0,1,1,1,19,0,19,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6088,15258,177800.0,71.12,1,2,1,19,0,19,0,0,0,0,0,0,0,0,0,0,0
